[17:43:17.280] [INFO   ] thread main starting.
[17:43:17.297] [SEVERE ] cannot read configuration file config.properties trying from resources.
[17:43:17.304] [SEVERE ] configuration file was loaded from resources directory.
[17:43:19.250] [INFO   ] thread dealer starting.
[17:43:19.255] [INFO   ] Thread dealer starting.
[17:43:19.269] [INFO   ] Thread Thread-0starting.
[17:43:19.270] [INFO   ] Thread Thread-1starting.
[17:43:19.273] [SEVERE ] placing card 39 in slot 0
[17:43:19.273] [INFO   ] Thread Thread-3starting.
[17:43:19.273] [INFO   ] Thread Thread-2starting.
[17:43:19.298] [INFO   ] Thread computer-0 starting.
[17:43:19.303] [INFO   ] Thread computer-1 starting.
[17:43:19.303] [INFO   ] Thread computer-3 starting.
[17:43:19.307] [INFO   ] Thread computer-2 starting.
[17:43:19.308] [SEVERE ] removing player 1 token from slot 5
[17:43:19.308] [SEVERE ] removing player 1 token from slot 9
[17:43:19.309] [SEVERE ] removing player 3 token from slot 8
[17:43:19.309] [SEVERE ] removing player 1 token from slot 2
[17:43:19.312] [SEVERE ] removing player 2 token from slot 8
[17:43:19.313] [SEVERE ] removing player 2 token from slot 7
[17:43:19.313] [SEVERE ] removing player 4 token from slot 4
[17:43:19.315] [SEVERE ] removing player 2 token from slot 9
[17:43:19.316] [SEVERE ] player 1 placing token on slot 0
[17:43:19.316] [SEVERE ] removing player 4 token from slot 8
[17:43:19.318] [SEVERE ] removing player 4 token from slot 10
[17:43:19.318] [SEVERE ] removing player 3 token from slot 6
[17:43:19.319] [SEVERE ] removing player 1 token from slot 5
[17:43:19.319] [SEVERE ] removing player 3 token from slot 4
[17:43:19.320] [SEVERE ] removing player 1 token from slot 10
[17:43:19.320] [SEVERE ] removing player 3 token from slot 7
[17:43:19.321] [SEVERE ] removing player 2 token from slot 10
[17:43:19.321] [SEVERE ] removing player 2 token from slot 1
[17:43:19.322] [SEVERE ] removing player 2 token from slot 11
[17:43:19.325] [SEVERE ] removing player 4 token from slot 5
